"Adresse";"Code_Postal";" Ville";"Pays";" Coord_GPS";" Remarque"
"rue du Baron d'Obin 219";"4219";"Wasseiges";"Belgique";"50.626098 ,4.996915";
"rue Antoine Dodion 10";"4257";"Berloz";"Belgique";"50.698443 ,5.211388";
"Place du Carcan 2";"4260";"Braives";"Belgique";"50.626506,5.149926";
"Route de Tirlemont 51";"4280";"Hannut";"Belgique";"50.674513,5.074268";
"rue de Landen 43";"4280";"Hannut";"Belgique";"50.675963,5.082159";
"rue de tirlemont 51";"4280";"HANNUT";"Belgique";"50.6743953, 5.0739763";
"rue des combattants 1";"4280";"HANNUT";"Belgique";"50.675258, 5.0835689";"devant l académie communale"
"rue des Ecoles 1";"4287";"Lincent";"Belgique";"50.71485,5.033351";
"rue Charles Lejeune 4";"4300";"Waremme";"Belgique";"50.697216 ,5.256537";
"1 rue du Monument";"4347";"Fexhe-le-Haut-Clocher";"Belgique";"50.6505779,5.4014433";"Belgique à RolouxBelle petite boite bien protegee belle variete"
"rue Nouvelle Percée 5";"4350";"Remicourt";"Belgique";"50.678461,5.320628";
"rue de l'Hôtel Communal 63";"4420";"Saint-Nicolas";"Belgique";"50.631784,5.539246";
"Esplanade de l'Hôtel Communal 1";"4430";"Ans";"Belgique";"50.667461,5.507504";
"rue Edouard Colson 148";"4431";"Loncin";"Belgique";"50.668754 ,5.500587";
"rue Cordémont 17";"4450";"Slins";"Belgique";"50.726558,5.562956";
"rue du Tige 142 A";"4450";"Juprelle";"Belgique";"50.709107,5.531027";
"rue des Alliés 33";"4460";"Grace-Hollogne";"Belgique";"50.646232,5.504085";
"rue Albert 1er 16";"4470";"Saint-Georges S/meuse";"Belgique";"50.601043,5.35473";
"rue du Pont 7";"4480";"Engis";"Belgique";"50.558932,5.362099";
"rue du Long Thier 35";"4500";"Huy";"Belgique";"50.519757,5.24912";
"rue des Augustins 18 B";"4500";"Huy";"Belgique";"50.520096,5.241673";
"Place Maurice Grandgagnage 4";"4530";"Villers-Le-Bouillet";"Belgique";"50.613496,5.231509";
"4 rue du Presbytère";"4550";"Nandrin";"Belgique";"50.5302172, 5.4128863";
"Place Belle Maison 14";"4570";"Marchin";"Belgique";"50.480247,5.22551";
"Place Georges Hubin 1-3-5";"4577";"Modave";"Belgique";"50.483026,5.297779";
"rue Bassetrée 5";"4608";"Warsage";"Belgique";"50.735538,5.76904";
"rue François Lapierre 19";"4620";"Fleron";"Belgique";"50.616239,5.682309";
"rue de Romsée 18";"4620";"Fleron";"Belgique";"50.613646,5.676228";
"Rue Sur la Campagne";"4650";"Herve ";"Belgique";"48.2072076,-1.0650642";"Devant la maison"
"rue du Roi Albert 194";"4680";"Oupeye";"Belgique";"50.708935,5.644446";
"Avenue Reine Astrid 8";"4680";"Oupeye";"Belgique";"50.7093098, 5.6434157";"Boîte à livres dans salon de coiffure Soho"
"rue des Ecoles 4";"4684";"Haccourt";"Belgique";"50.735464,5.667359";
"Nöretherstrasse 53";"4700";"Eupen";"Belgique";"50.639366,6.025452";
"Hillstrasse 7";"4700";"Eupen";"Belgique";"50.62136,6.040375";
"Bergkapellstrasse 46";"4700";"Eupen";"Belgique";"50.624807,6.033622";
"rue du Patronage ";"4720";"La Calamine";"Belgique";"50.718736,6.013138";
"100 Enclos des Récollets";"4800";"Verviers";"Belgique";"50.5944427,5.8605075";"Il s agit d'une boite à lire uniquement jeunesse en partenariat avec la bibliothèque de Verviers."
"rue Courte du Pont 20";"4800";"Verviers";"Belgique";"50.591023,5.868168";
"rue Henri Davignon 5";"4800";"Verviers";"Belgique";"50.580037,5.839346";
"rue Lucien Defays 10";"4800";"Verviers";"Belgique";"50.591979,5.85441";
"rue Léopold 36";"4820";"Dison";"Belgique";"50.610318,5.851769";
"Quartier du Vieux Moulin 1";"4831";"Limbourg";"Belgique";"50.622408,5.938324";
"rue de la Fagne 46";"4845";"Jalhay";"Belgique";"50.558928,5.966864";
"rue César Franck 163";"4851";"Gemmenich";"Belgique";"50.743232,5.988722";
"rue Nids d'Aguesses 1";"4860";"Pepinster";"Belgique";"50.567196,5.806948";
"rue de l Eglise";"4870";"Trooz";"Belgique";"50.5771, 5.67611";"A côté de l'administration communale."
"Place albert 1er";"4880";"aubel";"Belgique";"50.7061599, 5.8580257";"En haut de la place Albert 1er à Aubel."
"route de battice, 140";"4880";"aubel";"Belgique";"50.6931109, 5.8541101";
"Route de la Clouse 90";"4880";"Aubel";"Belgique";"50.701, 5.8804992";"Devant l'école."
"9 Avenue Amédée Hesse";"4900";"Spa";"Belgique";"50.4982524,5.8829733";"A l'extérieur de la piscine communale"
"Avenue Amédée Hesse 9";"4900";"Spa";"Belgique";"50.4982456,5.8829784";"A l'entrée de la piscine."
"rue de l'Hôtel de Ville 44";"4900";"Spa";"Belgique";"50.493332,5.86687";
"rue des 600 Franchimontois 1";"4910";"Theux";"Belgique";"50.531166,5.815661";
"Avenue Ferdinand Nicolay";"4970";"Stavelot";"Belgique";"50.39531, 5.93265";"Se trouve sur la petit place en face de l'abbaye"
"Rue Basse Marcelle 26";"5000";"Namur";"Belgique";"50.4645451, 4.8615021";
"rue hector fontaine";"5020";"vedrin ";"Belgique";"50.4911288, 4.8904181";"NAMUR belgique"
"19, rue lucien petit";"5030";"Gembloux";"Belgique";"50.5587656, 4.6881297";"C'est une toute nouvelle boite à livre faites artisanalement."
"16 Rue Notre-Dame";"5030";"Gembloux";"Belgique";"50.5607516, 4.6924818";
"Avenue de la Station";"5030";"Gembloux";"Belgique";"50.5733058, 4.6880236";"Boite à livres située dans la salle des pas perdus de la garde de Gembloux."
"Rue de Fosses 85";"5060";"Falisolle";"Belgique";"50.4235823, 4.635106";"La Boîte à Lire de Kri"
"85 rue de Fosses";"5060";"Falisolle";"Belgique";"50.4232435, 4.6349774";"La nouvelle Boîte à Lire de Kri vient d être installée en lieu et place de la précédente."
"Chemin des villas 10";"5170";"Lustin";"Belgique";"50.3655611, 4.8746689";"La boite à livres de Babouchka"" Boite à livres en papier-mâché réalisé par Zaza Macaroni"
"route de wasseiges";"5310";"Hanret";"Belgique";"50.5940198, 4.9565141";"Chouette boîte à livre et à cd s dans la chapelle d'Hanret, au croisement de la route de wasseiges et de la rue du parc dans le village d'Hanret, commune d'Eghezée."
"anne.herrezeel@gmail.com";"5310";"Eghezée";"Belgique";"50.586725, 4.9038689";"Boîte à livre et à cd s dans chapelle d'Hanret, au croisement de la route de wasseiges et de la rue du parc dans le village d'Hanret, Eghezée."
"Rue de Nalamont 139";"5351";"Ohey";"Belgique";"50.4449591, 5.1428617";"Se trouve sur le site de l école communale à Haillot. Réalisée par le comité des parents et décorée par l'équipe éducative et les enfants."
"rue du Village";"5377";"Baillonville";"Belgique";"50.289996,5.338671";"BelgiqueFace à l'église"
"2 rue du centre";"5501";"lisogne";"Belgique";"50.2833406,4.9704123";"Cette boite à lire est pour tous ceux qui aiment lire et partager leurs lectures. "
"Rue Parapet 35";"5537";"Bioul";"Belgique";"50.3436202, 4.8118795";"La boite à livres de Zaza Macaroni."
"77 rue albert 1er ";"5640";"mettet";"Belgique";"50.3245459, 4.6572466";"province de NAMUR BELGIQUE"
"rue de la molignée 8 ";"5644";"mettet";"Belgique";"50.3000625, 4.719307";"ERMETTON SUR BIERT"
"Non précisée";"5644";"Ermeton-sur-Biert";"Belgique";"50.29689, 4.71906";
"rue du monument";"5650";"WALCOURT";"Belgique";"50.2406915, 4.4530119";"de dimension modeste mais débordante de livre, dans le petit village sympa de Vogenée"
"13 Rue du Parc";"6000";"Charleroi";"Belgique";"50.4100945, 4.4484423";
"18 rue du Tunnel";"6010";"Couillet";"Belgique";"50.3786035, 4.4636445";"Initiative d'une habitante"
"rue de la marchienne ";"6110";"Montigny-le-Tilleul ";"Belgique";"50.3836374, 4.3819036";" juste derrière la maison communale, à la petite plaine de jeux, il y en a aussi une à la bibliothèque mais les heures d ouverture sont limitées."
"Rue Jean Jaurès 2";"6180";"Courcelles";"Belgique";"50.4596024,4.3747096";"À l entrée de la maison communale."
"place des combattants";"6230";"viesville";"Belgique";"50.490526, 4.4080915";
"56 rue Jean lorette";"6230";"thimeon";"Belgique";"50.4860307, 4.4294578";"Presque en face de la pharmacie...a côté des garages du n 56"
" Rue J.A. Chaudron 38";"6250";"PONT-DE-LOUP";"Belgique";"50.4078263, 4.5428149";
"Rue du Faubourg, 38";"6250";"Aiseau-Presles";"Belgique";"50.4072563, 4.5912519";"Cette boite à livres a été mise en place par moi-même. C est lors d'un voyage en Espagne, où j'en ai vu une pour la première fois, que l'idée m'est venue.Dans ma rue, nous sommes tout un collectif de voisins organisant des barbecues, des réunions citoyennes, des soirées afin de créer un réel collectif citoyen favorisant le partage et la nature. Le fait de créer une boite à livres était donc un bon moyen de partage dans ce quartier !"
"Rue de Villers 81";"6280";"Lausprelle";"Belgique";"50.3637817, 4.5116214";"La boite se trouve au niveau de l'école de Lausprelle."
"rue maurice gauchez";"6460";"chimay";"Belgique";"50.049073, 4.319426";"près de l'enseigne bara et d'un coiffeur derrière l'athenée royal section secondaire"
"rue du pavillon";"6460";"chimay";"Belgique";"50.0484, 4.3190363";"la boite a livre se trouve sur le mur du coiffeur Coiff B"
"2, rue Germain Michiels";"6500";"Beaumont";"Belgique";"50.2382528,4.241444";"A l entrée d'un magasin Bien remplie ..."
"17, rue du Port";"6560";"Erquelinnes";"Belgique";"50.308972,4.1203386";"Petite boite à livres située à Erquelinnes (Belgique)  tout près du port de plaisance"
"8 rue saint Pierre ";"6567";"MERBES LE CHATEAU";"Belgique";"50.3173727, 4.1939276";
"30 rue de la gare";"6670";"Gouvy";"Belgique";"50.1898319, 5.9539193";"Sur le mur du syndicat informations"
"Place de Salm";"6690";"VIELSALM";"Belgique";"50.2812277, 5.912439";"Boite à livre place de Salm"
"104 rue du Panorama";"6700";"Freylange";"Belgique";"49.7000217, 5.7615006";"Jolie boîte dédiée au livre-échange"" installée en juillet 2017 dans le village de Freylange."
" Avenue Patton, 93";"6700";"Arlon";"Belgique";"49.6747542, 5.8137076";"Boîte à lire N°1 Arlon."
"Rue des Capucins, 50";"6700";"Arlon";"Belgique";"49.6839299, 5.8154464";
"Rue de Bastogne, 250";"6700";"Arlon";"Belgique";"49.6951835, 5.8099232";
"Rue des Faubourgs, 46";"6700";"Arlon";"Belgique";"49.6847763, 5.8106334";
"Rue Léon Castilhon, 46";"6700";"Arlon";"Belgique";"49.6835796, 5.8080481";"en face de la prison"
"Rue de Bastogne, 30";"6700";"Arlon";"Belgique";"49.6873788, 5.8100825";"Cabinet médical Medarel"
"Rue Sainte Croix, 50";"6700";"Arlon";"Belgique";"49.6894295, 5.80734";"Boulangerie Van De Kerkhove"
"58 rue du bois";"6740";"Etalle";"Belgique";"49.6705916, 5.6000867";
"Au Pré des Seigneurs";"6747";"Meix-le-Tige";"Belgique";"49.6227108, 5.7178679";
"30 avenue de la Toison d Or";"6900";"Marche-en-Famenne";"Belgique";"50.2250824, 5.345342";
"rue de l Ancienne Poste";"6900";"Marloie";"Belgique";"50.2020918, 5.3180389";"1ère boite à lire du village, elle est stratégiquement posée sur le muret de l école. Elle est accessible pour les élèves mais aussi pour les habitants du village ou gens de passage."
"Rue de l ancienne poste N°5";"6900";"Marloie";"Belgique";"50.2020918, 5.3180389";"1ère boite à lire du village, elle est stratégiquement posée sur le muret de l école. elle est accessible pour les élèves mais aussi pour les habitants du village ou gens de passage."
"4a rue des soeurs noires";"7000";"Mons";"Belgique";"50.449935,3.951602";"Site du Carré des arts - Domaine des Arts visuels d ARTS². Au 1er étage  couloir de droite  en face de la Bibliothèque.  "
"70 rue de la station";"7060";"Braine-le-Comte";"Belgique";"50.5748995,4.0692816";"L'arbre à livres se trouve dans l entrée du Centre Culturel  face au restaurent Chez Joseph."
"19 rue des Frères Dulait";"7060";"Braine-le-Comte";"Belgique";"50.6014226,4.1361197";"L'arbre à livres se trouve à l'entrée du CPAS de Braine-le-Comte"
"4 grand place";"7090";"Braine-le-Comte";"Belgique";"50.610328,4.1365631";"Cet arbre à livres se trouve dans la bibliothèque communale de Braine-le-Comte."
"1 rue Adolphe Gillis";"7090";"braine-le-comte";"Belgique";"50.6092387,4.1347985";"L'arbre à livres se trouve dans l'entrée de la crèche."
"rue de l'église";"7100";"Haine-saint-Pierre";"Belgique";"50.4538894,4.1987211";"Un projet citoyen qui a vu le jour en juin 2016 et qui connaît un beau succès."
"Place Matteoti";"7100";"La Louvière";"Belgique";"50.4803255, 4.1897116";
"34 rue Ferrer";"7170";"Manage";"Belgique";"50.4770606,4.2392997";"Disponible tous les jours de 8h à 18h!"
"6 Grande ruelle";"7350";"Thulin";"Belgique";"50.4289022,3.7436734";"En Belgique"
"2 grande ruelle";"7350";"Thulin";"Belgique";"50.4288518,3.7436786";"En Belgique"
"Grand-Place,1";"7370";"Dour";"Belgique";"50.3964631, 3.7789279";"Les boîtes à livres de la Bibliothèque de Dour sont enfin disponibles ! L'une d'elle se trouve à l'intérieur de l'Hôtel de ville de Dour. Bonne lecture à tous !"
"Chemin des Croix, 3";"7370";"Dour";"Belgique";"50.394252, 3.7767741";"Les premières boîtes à lire de la Bibliothèque de Dour sont enfin disponibles ! L'une d'elle se trouve à l'intérieur du Belvédère. Bonne lecture à tous !"
"rue d Italie, 2";"7370";"Elouges";"Belgique";"50.3994162, 3.7382005";"Les premières boîtes à lire de la Bibliothèque de Dour sont enfin disponibles ! L'une d'elle se trouve à la Cité Sainte-Odile à Elouges. Bonne lecture à tous !"
"rue d Offignies, 19";"7370";"Dour";"Belgique";"50.3800471, 3.7991213";"Les premières boîtes à lire de la Bibliothèque de Dour sont enfin disponibles ! L'une d'elles se trouve à la rue d'Offignies à Dour, près des chicanes. Bonne lecture à tous !"
"Rue Charles Dupuis, 118";"7390";"Quaregnon";"Belgique";"50.4433028, 3.8685701";"Nos boîtes se trouvent dans l accueil du Cpas, et sont accessibles du lundi au vendredi de 8h00 à 16h00. Nous avons réalisé 3 boîtes, une à destination des enfants, une pour ados et une pour  adultes."
"Rue Charles Dupuis, 118";"7390";"Quaregnon";"Belgique";"50.4433028, 3.8685701";"Dans l'accueil du Cpas, accessibles du lundi au vendredi de 8h à 16h. Il y a 3 boîtes : une pour enfants, une pour ados, et une pour adultes"
"Rue Charles Dupuis, 118";"7390";"Quaregnon";"Belgique";"50.4433028, 3.8685701";"Nos boîtes se trouvent dans l accueil du Cpas, et sont accessibles du lundi au vendredi de 8h00 à 16h00. nous avons réalisé 3 boîtes, une à destination des enfants, une pour ados et une pour adultes."
"Place Verte";"7500";"Tournai";"Belgique";"50.6115366,3.3916077";"Mise en place par l'asbl Tournai Centre-Ville et les riverains de la place."
"Rue de l'Yser";"7730";"Estaimpuis";"Belgique";"50.7131731, 3.2523655";"Dans un ancien frigo"
"Rue d Anseroeul 34";"7750";"Amougies";"Belgique";"50.7283721, 3.5175412";"La Famille du 34 met à disposition des livres pour enfants et adultes.Suivez sur Facebook les aventures de  La Famille du 34"".Bientôt, en juin 2019, une ""cabane à dons """
" 2 rue du Village";"7903";"CHAPELLE A OIE";"Belgique";"50.5968881, 3.6713982";
"Place Marengo";"31500";"TOULOUSE";"BORDEL";"43.6103271, 1.4565705";"Place de la Légion d'Honneur""Quartier Lapujade / Bonnefoy / Périole / Marengo / La Colonne"
"Praça Japubá 35";"05453060";"São Paulo ";"Brésil";"-23.540877, -46.7064596";"Petite boîte à lire à São Paulo, Brésil"
" 113, rue Saint Laurent";"j9P3N2";"Val d'Or";"Canada";"48.0969008,-77.7887848";
"4457 Rue Louis-Veuillot";"QC H1M 2N2";"Montréal";"Canada";"45.5761536, -73.5497082";
"rue du prince";"qcj3p";"Sorel-Tracy";"Canada";"46.0467219, -73.115151";"Plusieurs boites à livres ont été installées dans la commune de SOREL TRACY au Canada. Parc carré royal, Parc Dorimêne, parc regard sur le fleuve,"
"Paseo de Colón 14";" ";"Zaragoza";"Espagne";"41.6337898, -0.8880662";"A l'entrée de l'hôpital  San Juan de Dios de Zaragoza en Espagne"
"Square des Qinconces";"01000";"Bourg en Bresse";"France";"46.2032253, 5.2195458";"Inauguration récente à aller découvrir dans le parc"
"134 rue Anatole France";"01100";"Oyonnax";"France";"46.2569416, 5.6553638";
"1 Place de la Mairie";"01100";"Arbent";"France";"46.2953835, 5.6819093";"La boîte est accrochée à un lampadaire devant la mairie."
"VIVAL Cormaranche en Bugey";"01110";"CORMARANCHE";"France";"45.9508677, 5.6115398";"devant le magasin, ouvert sur la rue"
"superette Champdor";"01110";"CHAMPDOR";"France";"46.0178317, 5.5955523";"Dans la supérette, un accueil formidable, une vendeuse super. LE RELAI DU CHATEAU"
"125 Rue Principale";"01110";"BRENOD";"France";"46.0593554, 5.6055598";"La table des livres voyageurs. Superbe endroit accessible et gratuit dans la mairie"
"Longecombe";"01110";"LONGECOMBE";"France";"45.949685, 5.550732";"ancienne cabine téléphonique sous le lavoir. espace magnifique et très agréable."
"BELLECOMBE";"01110";"HAUTEVILLE LOMPNES";"France";"45.973541, 5.6032719";"sur le parking de la farfouille de la croix rouge"
"place du docteur rougy";"01110 ";"Hauteville Lompnes";"France";"45.978259, 5.6029986";"Située dans le centre social et culturel Les 7 Lieux"
"Place des Halles";"01140";"Saint Didier sur Chalaronne";"France";"46.178189,4.817008";"A côté de l arrêt de bus 114"
"Montée St Vincent";"01140";"MOGNENEINS";"France";"46.140073, 4.811282";"La boite se situe 300 montée Saint Vincent, à Mogneneins, dans l'ancienne cabine téléphonique du village à côté de la bibliothèque"
"143 rue du Château";"01150";"Chazey-sur-ain";"France";"45.8846369,5.2839199";"Dans le parc du château de Chazey  vers le panorama sur la rivière d'Ain."
"17 rue du Port";"01160";"Neuville-sur-Ain";"France";"46.0777321, 5.3769412";"Boîte à lire + panier à objets de l'association Les Objets Voyageurs. Livres pour petits et grands, panier garni de jouets. Venez vous servir ! La boîte est au fond d'une impasse, mais vous avez le droit d'y accéder."
"Place Laurent-ferrand";"01160";"Priay";"France";"46.0031587, 5.2897816";
"route de divonne";"01170";"gex";"France";"46.348963, 6.094671";"dans la boulangerie du rond point"
"rue  saint Maurice";"01170";"chevry";"France";"46.281828, 6.0414258";"a côté de l ancienne poste"
"rue  saint Maurice";"01170";"chevry";"France";"46.281828, 6.0414258";"a côté de l ancienne poste"
"vertes campagnes";"01170";"gex";"France";"46.3257016, 6.0506238";"Dans le hall du carrefour market"
"4 Place Victor Bérard";"01200";"Bellegarde sur Valserine";"France";"46.1084392, 5.8298333";"Devant swisslife.Toute petite boîte"
"rue de villard";"01210";"ornex";"France";"46.2834237, 6.085032";"près de la nouvelle école"
"34 chemin Jacques Belay";"01220";"Grilly";"France";"46.3313876, 6.1147271";"Elle se trouve dans La Poste de Grilly"
"108 rue docteur Temporal";"01230";"St Rambert en Bugey";"France";"45.9491571, 5.4418109";"Venez lire, emprunter, échanger, déposer des livres pour petits et grands au Centre Socio-Culturel de l'Albarine."
"rue centrale";"01230";"EVOSGES";"France";"45.917072, 5.5097535";"cabine téléphonique rouge au bord de la rue principale direction Aranc"
"420 rue principale";"01230";"Évosges";"France";"45.9606737, 5.4999668";"Ancienne cabine téléphonique sur le bord de route."
"rue de franche comté";"01250";"Nivigne et Suran";"France";"46.2643286, 5.4265254";
"40 Rue de la Mairie";"01260";"RUFFIEU";"France";"45.9948588, 5.6628383";"Une table de fortune sous le porche d une maison, en face presque de la mairie, à côté de la fontaine"
"place Brillat Savarin";"01260";"Champagne en Valromey";"France";"45.90476, 5.678445";"dans la maison de pays rez de chaussée derrière les clostrats"
"Place de la mairie ";"01300";"Saint-Germain-les-Paroisses ";"France";"45.7284875,5.650361";"Derrière l église.Livres très intéressants et en très bon état"
"mairie";"01310";"Curtafond";"France";"46.270803859356526, 5.089792013168336";"abri arrêt de bus"
"Arrêt de bus Mairie";"01310";"Curtafond";"France";"46.27074452879896, 5.089754462242127";
"56 place des sapins";"01340";"montrevel en bresse ";"France";"46.3353344, 5.1184866";"Une joli boîte en fer bien garnie accrochée au mur de la maison numéro 59. L initiative de son habitante. Pas facile à trouver mais vaut le détour !!"
"Place de la mairie";"01340";"Etrez";"France";"46.334427, 5.183755";
"Place de la mairie";"01340";"Etrez";"France";"46.334427, 5.183755";
"Place de la mairie";"01340";"Etrez";"France";"46.334427, 5.183755";
"Route de geneve";"01360";"La valbonne";"France";"45.85232841947938, 5.128598213195802";"Fabriquée par les enfants du periscolaire de la valbonne elle a permis de recycler un vieux frigo"
"20 Route du Chanay";"01390";"Civrieux";"France";"45.9218895, 4.8801748";"C?est une grande étagère a côté du parking en face du boulanger"
"13 Route de Lyon";"01390";"Civrieux";"France";"45.9215068, 4.8821998";"En face du tabac Grand armoire"
"40 place des halles";"01400";"Châtillon-sur-Chalaronne";"France";"46.118769, 4.9565037";"grande cabane à livres juste devant la crèche, en face des halles"
"immeuble le volderine";"01410";"chamfromier";"France";"46.193896, 5.816733";"Devant tous les commerces de proximité Vival, très belle initiative"
"29 Rue du tilleul";"01430";"VIEU D IZENAVE";"France";"46.092959, 5.544779";"Se trouve dans la charcuterie"
"ST ALBAN";"01450";"SAINT ALBAN";"France";"46.0939112, 5.4480062";"Sous le préau du four communal"
"310 Rue Jean Marie Vianney";"01480";"Ars-sur-Formans";"France";"45.9934835,4.8211194";"Elle est toute bleue  toute belle."
"le bourg";"01480";"FRANS";"France";"46.8016242,5.3757343";"Petite cabane à oiseaux qui est en fait une belle boîte à lire où les livres vont et viennent au fil des humeurs..."
